MaStR-Nr. der Einheit;Anzeige-Name der Einheit;Betriebs-Status;Inbetriebnahmedatum der Einheit;Registrierungsdatum der Einheit;Energieträger;Bruttoleistung der Einheit;Nettonennleistung der Einheit;Postleitzahl;Ort;Name des Anlagenbetreibers (nur Org.);"	MaStR-Nr. des Anlagenbetreibers";Letzte Aktualisierung
SEE908731234490;WEA 5;In Betrieb;20.08.2013;27.03.2020;Wind;2000;2000;17098;Friedland;(natürliche Person);ABR982579800079;31.01.2025
SEE905892761506;FL Stadt WEA 5;In Betrieb;19.02.2009;27.03.2020;Wind;2000;2000;17098;Friedland;(natürliche Person);ABR982579800079;10.03.2025
SEE957778769670;WEA 7;In Betrieb;13.03.2020;26.03.2020;Wind;2350;2350;18233;Ravensberg;Windpark Ravensberg/Krempin GmbH & Co. Betriebs KG;ABR961323222848;19.10.2023
SEE910179097469;FL Stadt WEA 3;In Betrieb;16.02.2009;26.03.2020;Wind;2000;2000;17098;Friedland;Gunkel neue Energien GmbH & Co.KG;ABR904940930888;19.02.2025
SEE914175473340;WEA A;In Betrieb;07.11.2002;26.03.2020;Wind;1800;1800;17098;Friedland;Gunkel neue Energien GmbH & Co.KG;ABR904940930888;15.09.2022
SEE907191413193;WEA 2;In Betrieb;13.05.2011;26.03.2020;Wind;2000;2000;17098;Friedland;Gunkel neue Energien GmbH & Co.KG;ABR904940930888;24.02.2025
SEE938220819587;WEA 01: 66919;In Betrieb;20.12.2001;25.03.2020;Wind;1500;1500;17392;Neuenkirchen;ENOVA Windpark Müggenburg-Panschow GmbH & Co. KG;ABR925656843682;16.01.2025
SEE944531395061;WEA 02: 66474;In Betrieb;20.12.2001;25.03.2020;Wind;1500;1500;17392;Neuenkirchen;ENOVA Windpark Müggenburg-Panschow GmbH & Co. KG;ABR925656843682;21.01.2025
SEE959195594415;WEA 03: 66917;In Betrieb;20.12.2001;25.03.2020;Wind;1500;1500;17392;Neuenkirchen;ENOVA Windpark Müggenburg-Panschow GmbH & Co. KG;ABR925656843682;15.01.2025
SEE903364879612;WEA 04: 66452;In Betrieb;20.12.2001;25.03.2020;Wind;1500;1500;17392;Neuenkirchen;ENOVA Windpark Müggenburg-Panschow GmbH & Co. KG;ABR925656843682;01.08.2025
SEE942061286088;WEA 05: 66920;In Betrieb;20.12.2001;25.03.2020;Wind;1500;1500;17392;Neuenkirchen;ENOVA Windpark Müggenburg-Panschow GmbH & Co. KG;ABR925656843682;18.12.2024
